,PropertyID,Country,Type,Bedrooms,Bathrooms,SquareFootage,Price,ListedDate,Status,Img,Location
0,1,Canada,Single Family,4,2,1200,800000,2022-09-12T00:00:00.000,Sold,https://lh3.googleusercontent.com/IrX8q_pNLb4ZmB4k8X5OOqLlNaXVrrCk4BT1WTaxtjB2mBSLfDQKSbi_-NnuirlA6D0YwfOrHvZlSL_SC1ssut0Uk8WPVxXHfEFzvWEgBWHMv7EIJfcBKzz7NRxdwA=s0,"Toronto, 123 Maple St"
1,2,Australia,Apartment,4,3,1200,400000,2023-02-03T00:00:00.000,Pending,https://thegreensgh.com/wp-content/uploads/slider/cache/2dd7e954146fa7a139344e68d7af7bf5/Greens-18-4-scaled.webp,"Sydney, 34 George St"
2,3,Germany,Townhouse,2,4,750,700000,2022-02-10T00:00:00.000,Sold,https://www.adobe.com/creativecloud/photography/discover/media_1159b19a8225b2413136806b0be15e4c921e3d122.png?width=750&format=png&optimize=medium,"Berlin, 12 Alexanderplatz"
3,4,Japan,Single Family,4,1,2500,400000,2024-03-18T00:00:00.000,Sold,https://i2.au.reastatic.net/800x600/abafe5a063891c635b1d496539ee21f0ccccde46481b4f53732dc826c7034e5f/image.jpg,"Tokyo, 1 Chiyoda"
4,5,Brazil,Single Family,3,4,2500,400000,2024-08-02T00:00:00.000,Sold,https://media.licdn.com/dms/image/C4D12AQHyQFztScy7lQ/article-cover_image-shrink_600_2000/0/1631006149800?e=2147483647&v=beta&t=FSTJIlkktklps6VGbJLGVVehV4W8RfLEIVayCXpoLkQ,"São Paulo, 33 Paulista Ave"
5,6,South Africa,Apartment,3,3,2000,300000,2022-09-28T00:00:00.000,Sold,https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/44/ef/f6/978233714.jpg,"Cape Town, 123 Long St"
6,7,India,Apartment,3,4,1200,500000,2023-04-10T00:00:00.000,Sold,https://s3.eu-west-2.amazonaws.com/online24-production/listings/zfdqa/photos/ghcostablanca-propiedades-6321dd540aae8-source-gl.jpg,"Mumbai, 50 Marine Drive"
7,8,Italy,Single Family,5,3,2000,1000000,2023-06-18T00:00:00.000,Pending,https://res.listglobally.com/listings/5784499/87164663/4c457cd7d377048b644c3b3cc66d63b6?mode=crop&height=300,"Rome, 25 Via del Corso"
8,9,France,Condo,4,3,750,500000,2022-09-22T00:00:00.000,Sold,https://res.listglobally.com/listings/6239657/94745460/ffa44617f2ac8e0505ba36d6aac6b7f0?mode=crop&height=300,"Paris, 50 Champs-Élysées"
9,10,Mexico,Townhouse,1,3,1200,200000,2022-01-03T00:00:00.000,Sold,https://cdn.pixabay.com/photo/2016/11/18/17/46/house-1836070_1280.jpg,"Mexico City, 67 Reforma Ave"
10,11,Canada,Condo,5,2,1800,900000,2022-08-05T00:00:00.000,Sold,https://clarity.pk/wp-content/uploads/2021/03/realestate-pakistan-scaled.jpg,"Toronto, 123 Maple St"
